2020-11-10,A,11
2020-11-09,A,96
2020-11-08,A,49
2020-11-07,A,61
2020-11-06,A,4
2020-11-05,A,15
2020-11-04,A,44
2020-11-03,A,21
2020-11-02,A,66
2020-11-01,A,88
2020-10-31,A,92
2020-10-30,A,62
2020-10-29,A,70
2020-10-28,A,68
2020-10-27,A,12
2020-10-26,A,86
2020-10-25,A,79
2020-10-24,A,79
2020-10-23,A,46
2020-10-22,A,41
2020-10-21,A,31
2020-10-20,A,51
2020-10-19,A,11
2020-10-18,A,50
2020-10-17,A,9
2020-10-16,A,65
2020-10-15,A,41
2020-10-14,A,36
2020-10-13,A,64
2020-10-12,A,96
2020-10-11,A,69
2020-10-10,A,3
2020-10-09,A,19
2020-10-08,A,34
2020-10-07,A,73
2020-10-06,A,80
2020-10-05,A,14
2020-10-04,A,5
2020-10-03,A,16
2020-10-02,A,26
2020-10-01,A,46
2020-09-30,A,61
2020-09-29,A,21
2020-09-28,A,41
2020-09-27,A,21
2020-09-26,A,6
2020-09-25,A,86
2020-09-24,A,80
2020-09-23,A,98
2020-09-22,A,20
2020-09-21,A,3
2020-09-20,A,90
2020-09-19,A,39
2020-09-18,A,62
2020-09-17,A,21
2020-09-16,A,80
2020-09-15,A,24
2020-09-14,A,73
2020-09-13,A,87
2020-09-12,A,97
2020-09-11,A,33
2020-09-10,A,57
2020-09-09,A,45
2020-09-08,A,32
2020-09-07,A,94
2020-09-06,A,89
2020-09-05,A,75
2020-09-04,A,68
2020-09-03,A,61
2020-09-02,A,86
2020-09-01,A,5
2020-08-31,A,53
2020-08-30,A,43
2020-08-29,A,5
2020-08-28,A,34
2020-08-27,A,78
2020-08-26,A,100
2020-08-25,A,20
2020-08-24,A,44
2020-08-23,A,98
2020-08-22,A,82
2020-08-21,A,34
2020-08-20,A,50
2020-08-19,A,33
2020-08-18,A,83
2020-08-17,A,100
2020-08-16,A,14
2020-08-15,A,92
2020-08-14,A,77
2020-08-13,A,26
2020-08-12,A,29
2020-08-11,A,89
2020-08-10,A,71
2020-08-09,A,96
2020-08-08,A,52
2020-08-07,A,54
2020-08-06,A,67
2020-08-05,A,92
2020-08-04,A,38
2020-08-03,A,63
2020-08-02,A,1
2020-08-01,A,12
2020-07-31,A,28
2020-07-30,A,69
2020-07-29,A,55
2020-07-28,A,89
2020-07-27,A,62
2020-07-26,A,27
2020-07-25,A,63
2020-07-24,A,41
2020-07-23,A,78
2020-07-22,A,54
2020-07-21,A,74
2020-07-20,A,98
2020-07-19,A,70
2020-07-18,A,15
2020-07-17,A,70
2020-07-16,A,93
2020-07-15,A,76
2020-07-14,A,100
2020-07-13,A,97
2020-07-12,A,98
2020-07-11,A,51
2020-07-10,A,51
2020-07-09,A,20
2020-07-08,A,36
2020-07-07,A,34
2020-07-06,A,84
2020-07-05,A,17
2020-07-04,A,65
2020-07-03,A,82
2020-07-02,A,45
2020-07-01,A,15
2020-06-30,A,84
2020-06-29,A,43
2020-06-28,A,54
2020-06-27,A,36
2020-06-26,A,6
2020-06-25,A,88
2020-06-24,A,10
2020-06-23,A,76
2020-06-22,A,50
2020-06-21,A,62
2020-06-20,A,76
2020-06-19,A,41
2020-06-18,A,74
2020-06-17,A,89
2020-06-16,A,5
2020-06-15,A,67
2020-06-14,A,40
2020-06-13,A,39
2020-06-12,A,34
2020-06-11,A,81
2020-06-10,A,50
2020-06-09,A,97
2020-06-08,A,3
2020-06-07,A,94
2020-06-06,A,60
2020-06-05,A,31
2020-06-04,A,56
2020-06-03,A,82
2020-06-02,A,43
2020-06-01,A,32
2020-05-31,A,1
2020-05-30,A,98
2020-05-29,A,92
2020-05-28,A,83
2020-05-27,A,11
2020-05-26,A,17
2020-05-25,A,23
2020-05-24,A,3
2020-05-23,A,91
2020-05-22,A,45
2020-05-21,A,31
2020-05-20,A,21
2020-05-19,A,22
2020-05-18,A,47
2020-05-17,A,63
2020-05-16,A,28
2020-05-15,A,56
2020-05-14,A,36
2020-05-13,A,98
2020-05-12,A,43
2020-05-11,A,92
2020-05-10,A,15
2020-05-09,A,19
2020-05-08,A,55
2020-05-07,A,45
2020-05-06,A,89
2020-05-05,A,66
2020-05-04,A,5
2020-05-03,A,80
2020-05-02,A,5
2020-05-01,A,5
2020-04-30,A,68
2020-04-29,A,9
2020-04-28,A,24
2020-04-27,A,81
2020-04-26,A,47
2020-04-25,A,7
2020-04-24,A,85
2020-04-23,A,23
2020-04-22,A,23
2020-04-21,A,17
2020-04-20,A,26
2020-04-19,A,68
2020-04-18,A,38
2020-04-17,A,23
2020-04-16,A,47
2020-04-15,A,33
2020-04-14,A,31
2020-04-13,A,2
2020-04-12,A,62
2020-04-11,A,27
2020-04-10,A,45
2020-04-09,A,56
2020-04-08,A,17
2020-04-07,A,35
2020-04-06,A,13
2020-04-05,A,57
2020-04-04,A,61
2020-04-03,A,31
2020-04-02,A,42
2020-04-01,A,44
2020-03-31,A,50
2020-03-30,A,51
2020-03-29,A,41
2020-03-28,A,60
2020-03-27,A,49
2020-03-26,A,57
2020-03-25,A,49
2020-03-24,A,57
2020-03-23,A,100
2020-03-22,A,62
2020-03-21,A,46
2020-03-20,A,24
2020-03-19,A,13
2020-03-18,A,78
2020-03-17,A,59
2020-03-16,A,43
2020-03-15,A,74
2020-03-14,A,16
2020-03-13,A,90
2020-03-12,A,54
2020-03-11,A,34
2020-03-10,A,21
2020-03-09,A,6
2020-03-08,A,20
2020-03-07,A,9
2020-03-06,A,53
2020-03-05,A,78
2020-03-04,A,25
2020-03-03,A,35
2020-03-02,A,49
2020-03-01,A,21
2020-02-29,A,58
2020-02-28,A,5
2020-02-27,A,68
2020-02-26,A,88
2020-02-25,A,45
2020-02-24,A,42
2020-02-23,A,87
2020-02-22,A,8
2020-02-21,A,72
2020-02-20,A,82
2020-02-19,A,3
2020-02-18,A,47
2020-02-17,A,34
2020-02-16,A,67
2020-02-15,A,61
2020-02-14,A,53
2020-02-13,A,58
2020-02-12,A,29
2020-02-11,A,32
2020-02-10,A,78
2020-02-09,A,35
2020-02-08,A,60
2020-02-07,A,87
2020-02-06,A,71
2020-02-05,A,71
2020-02-04,A,52
2020-02-03,A,85
2020-02-02,A,2
2020-02-01,A,71
2020-01-31,A,64
2020-01-30,A,55
2020-01-29,A,40
2020-01-28,A,49
2020-01-27,A,92
2020-01-26,A,79
2020-01-25,A,7
2020-01-24,A,61
2020-01-23,A,49
2020-01-22,A,84
2020-01-21,A,25
2020-01-20,A,50
2020-01-19,A,66
2020-01-18,A,81
2020-01-17,A,45
2020-01-16,A,26
2020-01-15,A,23
2020-01-14,A,36
2020-01-13,A,57
2020-01-12,A,56
2020-01-11,A,5
2020-01-10,A,43
2020-01-09,A,21
2020-01-08,A,26
2020-01-07,A,40
2020-01-06,A,91
2020-01-05,A,39
2020-01-04,A,14
2020-01-03,A,77
2020-01-02,A,88
2020-01-01,A,52
2020-11-10,B,14
2020-11-09,B,41
2020-11-08,B,90
2020-11-07,B,99
2020-11-06,B,44
2020-11-05,B,60
2020-11-04,B,47
2020-11-03,B,21
2020-11-02,B,56
2020-11-01,B,95
2020-10-31,B,44
2020-10-30,B,30
2020-10-29,B,53
2020-10-28,B,17
2020-10-27,B,6
2020-10-26,B,50
2020-10-25,B,34
2020-10-24,B,59
2020-10-23,B,67
2020-10-22,B,86
2020-10-21,B,41
2020-10-20,B,44
2020-10-19,B,44
2020-10-18,B,26
2020-10-17,B,65
2020-10-16,B,87
2020-10-15,B,68
2020-10-14,B,53
2020-10-13,B,55
2020-10-12,B,21
2020-10-11,B,94
2020-10-10,B,79
2020-10-09,B,30
2020-10-08,B,13
2020-10-07,B,20
2020-10-06,B,84
